STOPNAME,TRAPEZESTO,RUCUSSTOPA,STOPID,LATITUDE,LONGITUDE,ACCESSIBIL,ATSTREET,ONSTREET,POSITION,ORIENTATIO,SERVICEPLA,SHELTER,INSERT_TIM,SIGNUPID,SUPERVISOR
Haight St&Laguna St NW-FS/BZ,HAITLGN0,HAITLGNA,4955.0000000000,37.7727640000,-122.4258430000,0.0000000000,LAGUNA ST,HAIGHT ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
500 Parnassus Ave NW-FS/BZ,PARN 500,PARN 500,5887.0000000000,37.7633080000,-122.4587460000,0.0000000000,,PARNASSUS AVE,FS,NW,BZ,0.0000000000,2012/02/23,76.0000000000,
Frederick St&Ashbury St NW-FS/BZ,FREDASH0,FREDASHB,4715.0000000000,37.7672610000,-122.4466910000,0.0000000000,ASHBURY ST,FREDERICK ST,FS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Market St bet 7th & 8th St SE-MB/BZ,MRKT 8/7,MRKT 8/7,5649.0000000000,37.7798100000,-122.4131860000,0.0000000000,7TH ST,MARKET ST,MB,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
Parnassus Ave&4th Ave NE-NS/BZ,PARN 4A0,PARN 4AV,5885.0000000000,37.7627270000,-122.4607400000,0.0000000000,4TH AVE,PARNASSUS AVE,NS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
Parnassus Ave&4th Ave SE-FS/BZ,PARN 4A1,PARN 4AV,5886.0000000000,37.7626560000,-122.4605110000,0.0000000000,4TH AVE,PARNASSUS AVE,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
9th Ave&Lawton St SE-NS/BZ,9AVLAW1,9AVLAWT,3219.0000000000,37.7583640000,-122.4658270000,0.0000000000,LAWTON ST,9TH AVE,NS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Shrader St&Haight St SE-NS/PS,SHRAHAI1,SHRAHAIT,6381.0000000000,37.7693130000,-122.4517560000,0.0000000000,HAIGHT ST,SHRADER ST,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Market St&South Van Ness Av S-N/SI,MRKTSOV1,MRKTSOVN,5692.0000000000,37.7750560000,-122.4193210000,0.0000000000,SOUTH VAN NESS AVE,MARKET ST,NS,S,SI,0.0000000000,2012/02/23,76.0000000000,
Fremont St&Market St E-NS/SI,FRMTMRK0,FRMTMRKT,4725.0000000000,37.7916450000,-122.3981510000,0.0000000000,FRONT ST,FREMONT ST,NS,E,SI,0.0000000000,2012/02/23,76.0000000000,
Spear St&Market St S-FS/BB,SPERMRK1,SPERMRKT,6475.0000000000,37.7935890000,-122.3955480000,0.0000000000,MARKET ST,SPEAR ST,FS,S,BB,0.0000000000,2012/02/23,76.0000000000,
Market bet. 6th & 7th SE-MB/BZ,MRKT 7/6,MRKT.7/6,5648.0000000000,37.7812900000,-122.4113290000,0.0000000000,6TH ST,MARKET ST,MB,SE,BZ,1.0000000000,2012/02/23,76.0000000000,
